rank,app_id,app_name,developer,developer_link,category,category_link
56,com.hulu.plus,Hulu: Stream TV shows & movies,Disney,/dev/Disney/,Entertainment,/stats/google-play-rankings/top_grossing/entertainment/us
57,com.dramawave.app,DramaWave - Dramas & Reels,SKYWORK AI PTE.LTD.,/dev/SKYWORK+AI+PTE.LTD./,Entertainment,/stats/google-play-rankings/top_grossing/entertainment/us
58,com.bamnetworks.mobile.android.gameday.atbat,MLB,"MLB Advanced Media, L.P.",/dev/MLB+Advanced+Media%2C+L.P./,Sports,/stats/google-play-rankings/top_grossing/sports/us
59,com.discovery.discoveryplus.mobile,discovery+ | Stream TV Shows,Discovery Communications LLC,/dev/Discovery+Communications+LLC/,Entertainment,/stats/google-play-rankings/top_grossing/entertainment/us
60,com.twitter.android,X,X Corp.,/dev/X+Corp./,News & Magazines,/stats/google-play-rankings/top_grossing/news_magazines/us
61,com.espn.score_center,ESPN,Disney,/dev/Disney/,Sports,/stats/google-play-rankings/top_grossing/sports/us
62,com.enflick.android.TextNow,TextNow: Call + Text Unlimited,"TextNow, Inc.",/dev/TextNow%2C+Inc./,Communication,/stats/google-play-rankings/top_grossing/communication/us
63,com.newsclapper.video,"Clapper: Video, Live, Chat",Clapper Media Group Inc.,/dev/Clapper+Media+Group+Inc./,Social,/stats/google-play-rankings/top_grossing/social/us
64,com.sgiggle.production,"Tango: Live Stream, Video Chat",Tango,/dev/Tango/,Social,/stats/google-play-rankings/top_grossing/social/us
65,com.univision.prendetv,"ViX:TV, Deportes y Noticias",Univision Communications Inc.,/dev/Univision+Communications+Inc./,Entertainment,/stats/google-play-rankings/top_grossing/entertainment/us
66,com.suno.android,Suno - AI Music & Songs Maker,"Suno, Inc",/dev/Suno%2C+Inc/,Music & Audio,/stats/google-play-rankings/top_grossing/music_audio/us
67,com.read.goodnovel,"GoodNovel - Booktok, Stories",GoodNovel,/dev/GoodNovel/,Books & Reference,/stats/google-play-rankings/top_grossing/books_reference/us
68,com.vidangel.thechosen,Angel: Watch Movies & TV Shows,"Angel Studios, Inc.",/dev/Angel+Studios%2C+Inc./,Entertainment,/stats/google-play-rankings/top_grossing/entertainment/us
69,com.hily.app,Hily Dating app: Meet & Date,Hily Corp.,/dev/Hily+Corp./,Dating,/stats/google-play-rankings/top_grossing/dating/us
70,com.sixdays.truckerpath,Trucker Path: Truck GPS & Fuel,Trucker Path,/dev/Trucker+Path/,Maps & Navigation,/stats/google-play-rankings/top_grossing/transportation/us
71,com.cricut.designspace,Design Space: DIY with Cricut,Cricut,/dev/Cricut/,Lifestyle,/stats/google-play-rankings/top_grossing/lifestyle/us
72,com.amazon.amazonvideo.livingroom,Prime Video,Amazon Mobile LLC,/dev/Amazon+Mobile+LLC/,Entertainment,/stats/google-play-rankings/top_grossing/entertainment/us
73,co.feeld,Feeld: Open-Minded Dating App,Feeld Ltd.,/dev/Feeld+Ltd./,Dating,/stats/google-play-rankings/top_grossing/dating/us
74,ai.socialapps.speakmaster,PolyBuzz: Chat with AI Friends,CLOUD WHALE INTERACTIVE TECHNOLOGY LLC.,/dev/CLOUD+WHALE+INTERACTIVE+TECHNOLOGY+LLC./,Entertainment,/stats/google-play-rankings/top_grossing/entertainment/us
75,com.strava,"Strava: Run, Bike, Walk",Strava Inc.,/dev/Strava+Inc./,Health & Fitness,/stats/google-play-rankings/top_grossing/health_fitness/us
76,com.pof.android,Plenty of Fish : Dating App,Plentyoffish Media ULC,/dev/Plentyoffish+Media+ULC/,Dating,/stats/google-play-rankings/top_grossing/dating/us
77,com.storage.androidcleaner,Cleanup: Phone Storage Cleaner,Deep Flow Apps,/dev/Deep+Flow+Apps/,Tools,/stats/google-play-rankings/top_grossing/tools/us
78,video.chat.joi,Joi - Live Video Chat,VLMedia A.Ş.,/dev/VLMedia+A.%C5%9E./,Social,/stats/google-play-rankings/top_grossing/social/us
79,com.getpure.pure,PURE: Anonymous Dating & Chat,Online Classifieds AG,/dev/Online+Classifieds+AG/,Dating,/stats/google-play-rankings/top_grossing/dating/us
